Text,Label
"Bu ülkede kadınlar taciz, tecavüz ediliyor!
Bu ülkede kadınlar katlediliyor!
Bu ülkede kadınlar ÖLDÜRÜLÜYOR!
#AylinSözer",0
"Ben artik elinin altinda internet, anasayfasinda kadin haklari diye bas bas bagiran tweetler, bu konularda haberler, makaleler olmasina ragmen hala toplumun cizgisi disindaki her kadini ataerkil dusuncelerle asagilayan kadinlari savunmayi biraktim. Mustehak her sey size.",2
"📌Eski CHP Maltepe İlçe Başkan Yardımcısı Umut K’nın tutuklandığı taciz olayının mağduru yaşadığı dehşet anlarını savcılıkta anlattı

📌Kendilerini sözde kadın hakları savunucusu gibi gösteren CHP’li yöneticiler ile kadın örgütleri ve STK’lar suspus

https://t.co/7LFXDygp8n",0
"Eşcinsel hakem ve TFF arasındaki dava... 
https://t.co/leQCxoyeNh https://t.co/LT0BgL9E4A",0
Anası Babası Belli Olmayan Onun Bunun Çocuğu Homoseksüel Lgbt li #AbdulhamidiAnlamayanAşağılık Şerefsiz Onursuz Haysiyetsiz Kişilik Merdan Yanardağ'ın GÖTÜNE Gök Sultan Abdülhamit Han'ın Bastonu Girmiş Olacak ki Böyle Kudurmuş Köpekler Gibi Konuşuyor,2
"Biz dün ~150 Python-sever ile yedik, içtik, eğlendik. (Birkaç kişi sordu, söyleyeyim: katılımcılarda kadın-erkek oranımız neredeyse 1:1'di, %48.5 kadın. Normalde bir yazılım etkinliğinde kadın katılımcı oranı %5-11 oluyor.) 

Ben kendim çok eğlendim. Umarım siz de sevmişsinizdir. https://t.co/ukWX6sWShU",0
"Bir deyim vardir ;
Kırk yıl yağmur yağsa, işlemez mermere,
Sen sen ol güvenme, ibne ile berbere.. 
Ahmet Kaya
Dogru söze ne hacet..
#YallahHollandaya 
#LGBT 
#LGBTsapıklıktır https://t.co/UYE8T2X8x9",1
"Ne yapacağınızı şaşırdınız..Bu nasıl bir açlık..Neden çaresizliğe karşı verilen tepkilerin karşılığı mahkemede de göz önünde bulundurulmuyor..Bizim derdimiz daha büyük Netflix ""LGBT""özendiriyor.. Birileri ölmüş, tecavüz edilmiş kimin umrunda..#VolkanUzunTutuklansın",0
Bizler andımızı sabahın kör kütüğünde boş yere okumadık. Kadın Erkek farketmeksiniz Varlığımız Türk Varlığına Armağan olsun! 🇹🇷 🇹🇷🇹🇷 #Türk #sehitlerimizvar,0
"Kadın-erkek ilişkisini didikleyen büyük filmlerin yönetmeni Mike Nichols, bu kez zamanın ilerisinde bir tavırla çuvaldızı erkek milletine batırıyor ve belki de en iyi işine imza atıyor.

İLK DEFA #ŞimdiGösterimde
https://t.co/qpTREGjzla https://t.co/IfCAH8Dork",0
"Mhp genel başkanı Bahçeli olmasaydı birçok kritik karar alınamazdı, yönetim batının maşalarının, ahlak yoksunu lgbt üyelerinin, vatan haini PKK'lı züppelerin eline geçerdi..",2
